COMPANY NAME,WEBSITE,STREET ADDRESS,CITY,STATE,ZIP,PHONE,EMAIL,INTERNSHIP MENTOR,INTERNSHIP TOPIC,MAJORS,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
Latitude Showroom,http://www.latitudeshowroom.com/,"231 W 39th Street, Suite 1003 ",New York,NY,10018,212-997-8900,haley@latitudeshowroom.com,Laren Bourne,Fashion Merchandising (In a showroom),Fashion,,,,,,,,,,,,,,,,
Hackensack Pediatrics,http://www.hackensackpediatrics.com/index.htm,177 Summit Avenue,Hackensack,NJ,7601,2014878222,kiddocmo@yahoo.com,Mohamed Tantawi,Hackensack Pediatrics,Medical,,,,,,,,,,,,,,,,
Van Saun Park Zoo,http://www.co.bergen.nj.us/index.aspx?NID=437,216 Forest Avenue,Paramus,NJ,7652,201-262-3771 ext. 114,cnorton.co.bergen.nj.us,Cindy Norton,Animals,Research/Other,,,,,,,,,,,,,,,,
The Valley Hospital,http://www.valleyhealth.com/index.aspx,223 N Van Dien Ave,Ridgewood,NJ,7450,(201)-447-8138,kmarave@valleyhealth.com,Katie Maraventano,Luckow Pavilion OR & Pharmacy,Medical,,,,,,,,,,,,,,,,
Hackensack University Medical Center,http://www.hackensackumc.org/,30 Prospect Avenue,Hackensack,NJ,7601,551-996-3200,,Leigh Quintero,Pediatric Neurology,Medical,,,,,,,,,,,,,,,,
New Horizon Financial Corp.,http://newhorizonfinancial.com/,320 Palisade Avenue,Bogota,NJ,7603,(201)-489-1118,nhf27@cs.com,Ed  Sweeney,Finance and Investment ,Business & Finance,,,,,,,,,,,,,,,,
Latitude Showroom,http://www.latitudeshowroom.com/,231 W. 39th St. ,New York,NY,10018,2129978900,haley@latitudeshowroom.com,Haley Compton,Fashion Merchandising,Fashion,,,,,,,,,,,,,,,,
BMW of North America,http://www.bmwusa.com/,300 Chestnut Ridge Rd,Woodcliff Lake,NJ,7677,201-307-4000,linda.ross@bmwna.com,Linda Ross,BMW Service Internship,Research/Other,,,,,,,,,,,,,,,,
BlueSpire Strategic Marketing,http://www.bluespiremarketing.com/home,110 Summit Ave,Montvale,NJ,7645,(800)727-6397,melissa.caravella@bluespiremarketing.com,Melissa Caravella,BlueSpire Strategic Marketing Internship,"Digital Media, Business & Finance",,,,,,,,,,,,,,,,
Donna Degnan,www.donnadegnan.com,149 W. 36th St. 8th Fl.,New York,NY,10018,212-629-4551,suehorn@donnadegnan.com,Sue Horn,Clothing Company ,Fashion,,,,,,,,,,,,,,,,
Kreisler Industrial Corporation,http://www.kreislermfg.com/,Van Riper Avenue,Elmwood Park,NJ,7407,(201)791-0700,sales@kreislermfg.com,Natalie Cullen,Engineering,"Automotive Engineering, Aerospace Engineering",,,,,,,,,,,,,,,,
Hi Class Living Magazine,,120 Sylvan Avenue,Englewood Cliffs,NJ,7632,201 363 0200,michael@hiclass.com,Michael  Raviv,Journalism ,Research/Other,,,,,,,,,,,,,,,,
Schenker & Rosenblatt L.L.C. Certified Public Accountants,www.SnRCPAS.com,One University Plaza Suite 311,Hackensack,NJ,7601,2015251222,joy@snrcpas.com,Joy Firshein,Accounting/Auditing ,"Computer Science, Business & Finance",,,,,,,,,,,,,,,,
The Valley Hospital,www.valleyhealth.com,223 N Van Dien Avenue,Ridgewood,NJ,7450,(201) 447-8000,webinfo@valleyhealth.com,Katie Maraventano,ER/Pharmacy,Medical,,,,,,,,,,,,,,,,
Re Think,www.chooserethink.com,19 Spear Road Suite 102,Ramsey,NJ,7446,201-773-4953,info@chooserethink.com,Tom McVey,Re Think,Research/Other,,,,,,,,,,,,,,,,
BlueSpire Strategic Marketing,http://www.bluespiremarketing.com/home,110 Summit Ave,Montvale,NJ,7645,201-740-6121,serge.suponitskiy@bluespiremarketing.com,Serge Suponitskiy,Business,Business & Finance,,,,,,,,,,,,,,,,
Kazimir's Pet Shop,http://www.kazpet.com/,82 Anderson Street,Hackensack,NJ,7601,201-487-1161,,Robert Kazimir,animals,Research/Other,,,,,,,,,,,,,,,,
Hackensack University Medical Center ,http://www.hackensackumc.org/,30 Prospect Avenue,Hackensack,NJ,7601,551-996-2000,,Leigh  Quintero,Pediatric Neurology ,Medical,,,,,,,,,,,,,,,,
Swepco Tube,www.swepcotube.com,1 Clifton Boulevard,Clifton,NJ,7015,973-778-3000 ext.8210,steven.oberhelman@swepcotube.com,Steven Oberhelman,Accounting Department,"Business & Finance, Commercial Arts",,,,,,,,,,,,,,,,
Weill Cornell Medical College,weillcornell.org / weill.cornell.edu  / nyp.org,"525 east 68th street, Rm. Payson 695",New York,NY,10065,212-746-3474,jbussel@med.cornell.edu,James Bussel,Pediatric Hematology/ Oncology,Medical,,,,,,,,,,,,,,,,
Latitude Showroom,www.latitudeshowroom.com,231 W 39th St,New York,NY,10018,(212)997-8900,info@latitudeshowroom.com,Lauren Bourne,Fashion Merchandising,Fashion,,,,,,,,,,,,,,,,
Blue Dog Graphics,www.bluedognj.com,222 River St.,Hackensack,NJ,7601,201-343-3343,don@bluedognj.com,Donald Perlman,Intern,Research/Other,,,,,,,,,,,,,,,,
Corpus Christi School,corpuschristischool.net,215 Kipp Avenue,Hasbrouck Heights,NJ,7604,201-288-0614,ccsoffice@corpuschristischool.net,Geraldine Mendoza,Music Education,Research/Other,,,,,,,,,,,,,,,,
TheGrassyNoel,http://www.thegrassynoel.com/thegrassynoel/tgn.html,396 Cedar Lane ,Teaneck,NJ,7666,330-366-6635,thegrassynoel@me.com,Noel Gussen,Studio & Art Gallery,Commercial Arts,,,,,,,,,,,,,,,,
